,country,year,value,category,region,directions,capitals,official_language
68,Belarus,1996,57251.355700374,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
69,Belarus,1995,56005.93938238,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
70,Belarus,1994,62402.279082903,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
71,Belarus,1993,75551.755291625,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
72,Belarus,1992,87060.81028961,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
73,Belarus,1991,93649.166141388,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
74,Belarus,1990,100438.095063708,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North East,Minsk,Belarusian and Russian
75,Belgium,2014,96325.4131833302,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
76,Belgium,2013,101744.736736883,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
77,Belgium,2012,100931.595609756,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
78,Belgium,2011,104945.713770963,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
79,Belgium,2010,114155.386728776,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
80,Belgium,2009,107282.543508312,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
81,Belgium,2008,120362.609842562,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
82,Belgium,2007,118027.408646158,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
83,Belgium,2006,122319.593759433,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
84,Belgium,2005,125118.016504076,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
85,Belgium,2004,128640.48346799,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
86,Belgium,2003,127523.989700176,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
87,Belgium,2002,126015.194675856,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
88,Belgium,2001,125649.370538717,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
89,Belgium,2000,126315.209948975,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
90,Belgium,1999,124208.071769964,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
91,Belgium,1998,129737.090031462,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
92,Belgium,1997,123495.742758683,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
93,Belgium,1996,129010.471708927,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
94,Belgium,1995,125519.441990638,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
